Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
303.7,312.8,1448,44.5,55
303.6,312.7,1403,46.2,57
303.5,312.6,1405,51.6,62
303.4,312.6,2706,9.8,65
303.3,312.4,1505,38.9,68
303.2,312.4,1663,33.7,71
303.3,312.6,1482,44.4,73
303.3,312.5,1674,32.7,76
303.4,312.7,1594,32.8,79
303.5,312.7,1393,49.3,82
303.5,312.8,1404,55.8,84
303.5,312.8,1375,45.7,89
303.5,312.8,1607,38.4,92
303.4,312.8,1360,50.8,94
303.5,312.8,1524,39.4,96
303.4,312.7,1534,35.5,98
303.3,312.7,1262,63.8,100
303.3,312.6,1623,34.6,102
303.3,312.7,1642,33.6,104
303.4,312.8,1622,35.1,107
303.5,312.9,1530,34.5,110
303.4,312.8,1590,36.3,113
303.4,312.7,1589,34,116
303.4,312.6,1462,37.5,118
303.3,312.5,1328,49.8,120
303.3,312.6,1692,29,125
303.3,312.5,1968,20.6,130
303.3,312.6,1827,24.2,132
303.3,312.6,1397,47.1,137
303.3,312.6,1463,44,140
303.3,312.7,1643,30.7,142
303.2,312.6,1281,57,144
303.2,312.5,1518,39.9,146
303.2,312.6,1601,35.3,148
303.1,312.6,1548,36.4,150
303.1,312.6,1404,40.6,152
303.1,312.5,1766,26.7,157
303.1,312.5,1667,30,160
303,312.5,1507,37.9,163
303,312.4,1627,37.1,168
302.9,312.3,1435,47.7,173
302.9,312.3,1509,46.8,175
302.9,312.3,1809,25,180
302.9,312.3,1515,40.8,183
302.9,312.3,1530,34.9,185
302.8,312.3,1336,57.5,187
302.9,312.4,2030,19.1,192
302.9,312.4,1550,36.9,194
302.9,312.4,1446,41.7,196
302.8,312.3,1494,37.5,198
302.8,312.4,1651,27,200
302.9,312.4,1698,33.8,202
302.8,312.3,1504,40.3,204
302.9,312.4,1421,46,206
302.9,312.3,1754,26.9,209
302.9,312.2,1469,42,214
302.8,312.2,1433,50,216
302.8,312.3,1432,49,218
302.8,312.3,1366,49.1,221
302.8,312.3,1483,47.2,223
302.7,312.2,1572,34.4,228
302.8,312.2,1481,40.2,230
302.8,312.3,1473,42.6,232
302.8,312.3,1262,70.5,234
302.8,312.4,1529,36.8,237
302.8,312.4,1523,39.7,239
302.8,312.3,1416,42.7,241
302.9,312.4,1923,23.9,244
302.8,312.4,1411,53.8,246
302.7,312.4,1477,46.3,251
302.6,312.3,1454,54.8,253
302.7,312.3,1421,48.5,0
302.7,312.3,1858,25.4,2
302.8,312.5,1422,46.1,4
302.7,312.4,1444,48.7,9
302.7,312.4,1360,47.8,11
302.7,312.4,1954,24.8,13
302.6,312.4,1628,33,15
302.7,312.4,1433,44.2,17
302.7,312.5,1417,51.5,19
302.8,312.6,1462,39.4,22
302.9,312.6,1328,59.9,24
302.7,312.5,1527,36.4,26
302.6,312.3,1534,34.3,31
302.6,312.4,1410,50.3,33
302.6,312.3,1660,30.3,36
302.6,312.4,1386,45.8,38
302.6,312.4,1398,41.6,40
302.6,312.3,1321,53.4,42
302.6,312.3,1512,34.2,44
302.6,312.3,1566,36.6,46
302.7,312.4,1422,44.5,49
302.6,312.3,1647,31.8,52
302.6,312.2,1377,45.5,54
302.5,312.2,1775,27.9,56
302.6,312.3,1554,42,58
302.7,312.4,1423,51.9,60
302.7,312.4,1453,47.3,62
302.8,312.4,1590,34.4,64
302.8,312.5,1694,28.4,66
302.8,312.5,1462,43.4,68
302.8,312.4,1392,46.2,70
302.9,312.5,1550,45.5,72
302.9,312.5,1629,30.4,74
303,312.5,1524,42.1,76
302.9,312.5,1679,30.9,79
302.9,312.6,1394,46.4,82
302.9,312.5,1683,32.1,85
303,312.5,1626,30.5,87
303,312.5,1698,30,89
303,312.6,1392,42.9,94
303.1,312.7,1353,51.8,97
303,312.7,1426,46.8,99
303,312.7,2024,19.9,102
303,312.8,1648,32.1,104
303.1,312.9,1511,40.1,107
303.1,312.8,1465,44.1,109
303,312.7,1551,41.8,111
303.1,312.8,2329,15.1,113
303.1,312.8,1435,41.9,115
303,312.7,1361,48.8,120
303,312.7,1553,35.8,122
303,312.6,1451,42.1,125
303,312.5,1461,40.2,127
303.1,312.6,1895,23.5,129
303.1,312.6,1567,32.9,132
303,312.5,1602,33.7,135
303.1,312.6,1514,42.1,138
303.1,312.5,1453,49.1,140
303,312.4,1526,36.1,142
302.9,312.3,1339,52.1,145
302.9,312.3,1889,22.8,148
302.9,312.4,1561,34.8,150
302.9,312.4,1659,33.1,152
302.9,312.4,1424,49.5,155
302.9,312.3,1426,44.7,157
302.9,312.4,1383,51.4,160
302.8,312.3,1764,29.9,162
302.7,312.2,1439,42.5,164
302.7,312.2,1585,35.5,167
302.7,312.3,1346,61.2,170
302.8,312.3,1386,57.8,172
302.7,312.2,1369,51.8,174
302.7,312.1,1378,46.9,176
302.7,312.2,1336,46.8,179
302.6,312.1,1445,42,181
302.7,312.1,1763,26.5,184
302.7,312.2,1611,34.1,186
302.7,312.1,1564,32.1,188
302.7,312.1,1478,36,191
302.6,312,1781,28.5,196
302.6,312.1,1782,26.8,198
302.6,312.1,2000,21.9,200
302.5,312,1826,25.3,203
302.6,312.1,1344,51,206
302.6,312.2,1520,43,208
302.6,312.1,1611,39.9,210
302.7,312.2,1450,52.1,213
302.6,312.1,1499,35,215
302.6,312.1,1288,68.5,0
302.7,312.2,1350,58.6,2
302.9,312.4,1334,50.9,5
302.8,312.4,1376,57.1,8
302.8,312.4,1368,49.5,10
302.9,312.5,1357,55,12
302.9,312.5,1924,24,17
302.9,312.5,1551,40,20
302.9,312.5,1903,21.2,23
302.9,312.3,1417,48.7,26
302.7,312.1,1601,35.2,31
302.7,312.1,1543,37.5,33
302.6,312.1,1439,52.3,35
302.6,312,1657,29.3,37
302.8,312.2,1458,51,42
302.8,312.2,1746,27.4,44
302.9,312.2,1677,30.5,46
302.8,312.1,1520,39.9,48
302.9,312.2,1367,55.1,50
302.8,312.2,1509,36.5,52
302.8,312.1,1418,51.4,54
302.8,312.1,1958,20.3,56
302.8,312.2,1682,30.9,58
302.8,312.2,1452,50.3,60
302.7,312,1828,24,63
302.7,312,1484,41.5,65
302.6,312,1674,32.2,70
302.6,311.9,1448,49.5,72
302.5,311.8,2023,19.1,74
302.5,311.9,1452,47.4,77
302.6,312,1496,45,79
302.6,311.9,1397,46.9,82
302.6,311.9,1453,39.1,84
302.5,311.9,1524,34.8,86
302.6,311.9,1633,30.9,89
302.6,312,1363,45.7,91
302.5,311.9,1520,44.9,94
302.5,311.9,1532,38.8,96
302.4,311.8,1384,50.9,99
302.4,311.8,1539,39.9,101
302.3,311.8,1355,50.1,104
302.3,311.7,1504,37.3,107
302.4,311.8,1476,46.6,110
302.4,311.7,1721,26.9,112
302.3,311.7,1494,37.1,114
302.3,311.7,1465,43.5,117
302.3,311.8,1363,54,119
302.4,311.8,1648,30,122
302.3,311.8,1879,23,124
302.3,311.7,1482,39,127
302.4,311.8,1493,38.4,132
302.4,311.8,1433,42.2,134
302.3,311.7,1400,41.6,136
302.4,311.8,1255,59,138
302.2,311.7,1471,45.6,140
302.2,311.6,1357,44.2,142
302.3,311.7,1453,41.2,147
302.3,311.7,1540,28.9,149
302.3,311.8,1605,35.2,152
302.3,311.9,1374,52.4,154
302.3,311.9,1508,42.3,159
302.4,311.9,1366,47.3,162
302.5,312,1579,35.7,167
302.5,311.9,1306,59.7,172
302.5,312,1521,40.2,174
302.5,312,1411,44.2,177
302.5,312,1357,42,179
302.5,312,1436,43.5,184
302.5,311.9,1553,40.1,187
302.5,312,1451,43.2,189
302.4,311.9,1541,37.9,192
302.3,311.7,1341,46.3,194
302.3,311.7,1648,32.1,197
302.3,311.7,1640,31.5,199
302.4,311.8,1416,46.1,202
302.4,311.9,1671,29.9,204
302.4,312,1457,45.5,206
302.5,312,1445,54.8,0
302.5,312.1,1534,38.6,3
302.4,312,1508,36.9,5
302.4,312.1,1492,47.7,7
302.4,312,1562,37.9,10
302.4,312,1545,36.4,12
302.5,312.2,1738,25.3,14
302.4,312,1305,49.1,16
302.4,312,1477,39.7,18
302.4,312,1457,43.4,23
302.4,312.1,1455,40.4,28
302.5,312.2,1574,38.7,30
302.6,312.2,1695,27.1,32
302.6,312.2,1458,38.8,34
302.5,312.1,1454,47.6,37
302.5,312,2052,18.9,40
302.5,312,1673,29.9,42
302.4,311.9,1578,29.9,44
302.5,312,1642,29.1,46
302.4,311.8,1557,31.5,49
302.5,311.9,1481,42.9,52
302.5,311.8,1566,37.6,54
302.5,311.9,1298,57.5,57
302.5,311.9,1340,59.4,60
302.5,312,1574,33.8,63
302.5,311.9,1437,46.7,65
302.6,311.9,1354,48,67
302.6,311.9,1598,35.5,69
302.7,312,1944,21.4,71
302.7,312,1538,36.7,74
302.7,312,1501,37,77
302.8,312.1,1441,52.1,79
302.7,312,1652,31,81
302.8,312.1,1487,36.6,84
302.9,312.2,1605,33.9,86
302.9,312.1,1334,54.7,88
302.9,312.2,1340,57.8,90
302.9,312.2,1513,37.8,92
302.9,312.2,1510,41.4,94
302.9,312.2,1729,23.6,96
302.9,312.2,1745,25.5,98
303.1,312.3,1623,31.6,101
303.1,312.4,1378,50.1,104
303.1,312.4,1407,41.2,107
303,312.3,1674,29.5,109
303,312.3,1486,42.4,112
303,312.3,1483,38.8,114
303,312.2,1624,28.8,117
303,312.2,1257,71.3,122
303,312.3,1480,41.4,125
303.1,312.4,1404,61.5,127
303,312.4,1645,29.6,129
303,312.3,1932,21.9,132
303,312.3,1533,38.5,134
302.9,312.2,1292,54.4,136
302.9,312.2,1571,40.6,139
302.9,312.3,1578,36.3,141
302.8,312.2,1469,36.9,143
302.7,312.1,1728,24.4,146
302.7,312.1,1603,32.5,148
302.7,312.1,1597,39.8,153
302.7,312.1,1688,32,155
302.7,312.2,1405,51.4,157
302.8,312.2,1615,32.9,159
302.8,312.2,1515,36.8,162
302.7,312.2,1376,52.8,164
302.7,312.2,1447,47.5,166
302.6,312.2,1353,56.5,168
302.6,312.1,1502,47.3,171
302.6,312,1447,45.5,173
302.5,312,1487,46.1,175
302.6,312.1,1519,38.1,178
302.6,312.1,1668,28.7,180
302.6,312.1,1420,51.6,182
302.6,312.1,1473,37.3,184
302.5,312,1495,38.8,186
302.5,312,1574,42,188
302.5,312,1383,51.3,190
302.5,312,1591,29.4,192
302.4,311.8,1644,37.2,195
302.5,311.8,2370,14.7,198
302.5,311.9,1401,44.9,203
302.5,311.9,1414,51.6,205
302.5,312,1456,46.3,208
302.5,312,1447,45.7,210
302.4,311.8,1727,26.5,213
302.4,311.7,1495,36.8,215
302.3,311.6,1544,34.3,0
302.3,311.5,1387,47.3,2
302.3,311.5,1316,47.2,4
302.3,311.5,1794,26.1,7
302.2,311.4,1372,55.1,9
302.3,311.5,1674,30,12
302.2,311.4,1477,41.7,15
302.2,311.4,1397,53,17
302.2,311.5,1616,34,19
302.3,311.5,1530,42.3,21
302.2,311.4,1539,35.1,24
302.3,311.4,1845,21.9,27
302.2,311.4,1430,43.1,29
302.2,311.4,2080,19.2,31
302.2,311.4,1432,45.3,33
302.2,311.5,1479,39.5,36
302.2,311.5,1424,45.2,39
302.2,311.6,1534,37.2,41
302.1,311.6,1701,26.2,46
302.2,311.6,1462,50,51
302.2,311.7,1393,42.5,53
302.3,311.7,1453,42.5,56
302.3,311.8,1565,37.8,59
302.3,311.8,1281,51.7,61
302.2,311.7,1584,36.2,63
302.2,311.7,1466,49,66
302.2,311.6,1386,50.5,69
302.2,311.6,1383,44.3,72
302.3,311.6,1441,53.9,74
302.2,311.6,1592,37.7,79
302.2,311.6,1594,36.8,82
302.2,311.5,1482,45.6,87
302.2,311.6,1658,31.4,89
302.3,311.7,2170,18.2,91
302.3,311.7,1423,44.6,93
302.4,311.8,1543,31.1,96
302.3,311.8,1435,44.8,98
302.4,311.8,1320,56.4,100
302.4,311.9,1313,55.7,102
302.4,311.8,1453,42.1,105
302.4,311.8,1508,45.7,108
302.4,311.8,1451,42,110
302.5,311.9,1595,34.6,112
302.5,311.9,1354,49.4,117
302.5,311.9,1265,59.8,119
302.4,311.9,1867,25.9,121
302.5,311.9,1497,41.6,123
302.5,311.9,1347,54.3,125
302.3,311.7,1544,43.2,128
302.3,311.7,1456,45.4,130
302.5,311.8,1335,52.7,135
302.4,311.9,1452,43.1,137
302.4,311.9,1290,70,139
302.4,311.8,1448,43.4,141
302.3,311.7,1611,38.6,143
302.2,311.7,1556,38.6,145
302.2,311.7,1413,46.5,147
302.2,311.6,1545,35.9,152
302.2,311.7,1330,54.6,154
302.2,311.9,1596,38,156
302.2,311.8,1618,36,158
302.2,311.9,1597,35.8,160
302.3,312,1354,52.2,165
302.3,312,1746,28.1,167
302.4,312,1621,32.5,169
302.3,312,1398,43.3,171
302.3,311.9,1434,51.9,173
302.3,311.8,1443,43.4,175
302.2,311.7,1488,44.6,178
302.3,311.8,1475,48,180
302.3,311.8,1433,50.3,183
302.3,311.8,1557,34.1,185
302.4,311.9,1398,50.1,188
302.3,311.8,1559,34.4,191
302.4,311.9,1422,46.4,194
302.3,311.8,1463,35.7,197
302.3,311.7,1793,25.3,200
302.2,311.6,1872,20.4,202
302.2,311.7,1412,44.5,204
302.3,311.8,1487,43.2,206
302.3,311.8,1369,56.2,208
302.4,311.8,1673,30.1,210
302.4,311.9,1439,36.6,212
302.3,311.8,1574,42.8,215
302.3,311.7,1281,48.8,0
302.2,311.7,1653,31.4,2
302.3,311.7,1535,38.3,5
302.3,311.7,1483,40.5,8
302.3,311.7,1414,47,11
302.2,311.6,1379,42.9,13
302.2,311.5,1482,42.6,16
302.1,311.5,1987,20.1,21
302.1,311.5,1635,31.6,23
302.1,311.5,1533,39.4,26
302.2,311.7,1576,34,28
302.2,311.8,1330,62.4,31
302.2,311.8,1981,21.8,36
302.3,311.8,1475,42.8,38
302.3,311.8,1804,25,43
302.2,311.6,1416,54.1,48
302.1,311.5,1727,27.7,50
302.1,311.4,1391,49.2,52
302,311.5,1366,52.3,54
301.9,311.3,1366,55.6,57
301.9,311.3,1501,40.8,59
301.8,311.3,1551,35.8,61
301.9,311.3,1522,35.6,63
301.9,311.2,1369,49.8,66
301.8,311.2,1334,52.3,68
301.8,311.2,1451,39.4,70
301.7,311.2,1589,37.9,75
301.7,311.3,1708,30.5,77
301.7,311.2,1413,42.6,79
301.6,311.2,1415,46.5,82
301.7,311.3,1421,45.9,85
301.7,311.3,1348,51,87
301.6,311.2,1408,42.9,89
301.6,311.2,1525,43.7,91
301.6,311.3,1706,29.9,93
301.6,311.2,1395,46.8,95
301.5,311.1,1602,34.3,100
301.6,311.1,1907,21.5,102
301.6,311.1,1325,49.2,104
301.6,311.1,1408,44.4,106
301.7,311.1,1489,41.4,108
301.6,311.1,1680,29.2,111
301.7,311.2,1517,42.4,113
301.7,311.1,1618,36.7,115
301.7,311.1,1455,39.8,118
301.8,311.1,1543,36.4,120
301.8,311.1,1399,41.8,125
301.7,311.1,1469,37.2,128
301.7,311.2,1521,36.7,130
301.7,311.3,1584,38.8,132
301.8,311.5,1443,43.3,134
301.8,311.5,1416,49,136
301.7,311.2,1563,34.5,139
301.8,311.3,1542,40.1,142
301.8,311.3,1624,31.6,145
301.8,311.3,1471,44.2,148
301.9,311.5,1492,40.8,150
301.9,311.4,1465,39.9,153
301.7,311.1,1399,55.1,156
301.6,311,1431,42.6,158
301.5,310.9,1600,39,160
301.5,310.8,1593,34.5,162
301.5,310.9,1469,44.7,164
301.5,310.8,1413,44.6,166
301.4,310.8,1490,38,168
301.5,310.9,1671,31.1,170
301.5,310.9,1365,46.5,172
301.4,310.9,1557,39.3,174
301.4,310.9,1440,45.4,177
301.4,310.9,1489,38.9,179
301.4,311,1733,25.7,182
301.3,311,1580,36.6,184
301.3,311,1856,21.9,189
301.3,311.1,1454,40.3,191
301.4,311.1,1495,36.3,193
301.2,311,1761,29.1,195
301.3,311,1402,47.5,197
301.2,311,1670,33,200
301.3,311,1582,35.6,202
301.3,311,1542,35.1,204
301.3,311,1539,36.9,206
301.3,311,1418,41.9,208
301.3,311.1,1723,27.6,210
301.3,311.1,1303,49.2,212
301.3,311,1463,50.2,214
301.2,311,1544,39.3,217
301.2,311,1596,37.2,219
301.3,311.1,1413,42,221
301.3,311.1,1492,41.2,223
301.3,311.1,1624,40.9,0
301.3,311.1,1504,39.1,2
301.2,311.1,1574,34.3,4
301.3,311.2,1438,42.4,7
301.3,311.3,1474,50.7,10
301.3,311.2,1675,32.1,12
301.3,311.2,1457,44.5,14
301.3,311.3,1434,49.8,16
301.3,311.2,1668,30.1,18
301.2,311.1,1550,39.7,20
301.3,311.1,1834,25.4,22
301.4,311.2,1476,36.5,25
301.4,311.2,1541,36.3,28
301.3,311.1,1581,30.9,31
301.3,311.1,1678,30.7,34
301.4,311.2,1355,50.6,37
301.5,311.2,1700,28.8,39
301.4,311.1,1462,37.1,41
301.4,311.2,1727,26.5,43
301.4,311.3,1674,33.3,46
301.4,311.3,1397,42.3,48
301.4,311.3,2323,15.9,50
301.4,311.2,1434,47.6,52
301.3,311.1,1560,35.3,55
301.2,311,1573,32.8,57
301.2,310.9,1798,22.3,59
301.2,311,1567,35.1,64
301.2,310.9,1416,53.3,66
301.2,310.9,1424,45.2,68
301.2,310.9,1598,35.9,71
301.3,310.9,1760,23.9,76
301.3,311,1348,44.5,78
301.3,311,1542,33.6,80
301.3,310.9,1566,33.1,82
301.3,311,1554,47.7,84
301.4,311,1470,40.6,86
301.4,311.1,1758,25.4,88
301.4,311,1486,36.5,91
301.5,311.1,1402,40,94
301.5,311.1,1459,45.1,97
301.5,311,1494,45.3,99
301.5,311.1,1731,27.9,101
301.5,311.1,2076,18.7,103
301.5,311.1,2055,16.8,105
301.5,311.1,1469,49.5,107
301.5,311,1504,42.6,109
301.5,311.1,1396,43.5,112
301.5,311.1,1660,33.8,115
301.5,311,1577,39.7,118
301.5,311.1,1426,52.1,121
301.5,311.1,1458,41.4,123
301.4,311,1533,45.8,125
301.4,311,1701,28.4,127
301.5,311.1,1434,49.6,129
301.4,311.1,1952,22.7,131
301.4,311.1,1469,36.9,133
301.4,311.1,1800,26,135
301.3,311.1,1438,43,137
301.3,311.1,1647,28.2,140
301.4,311.1,1494,41.9,142
301.4,311.1,1445,41.4,144
301.5,311.1,1507,38.6,149
301.4,311,1234,55.8,152
301.4,311,1634,32.6,155
301.4,311,1334,53.3,157
301.4,311.1,1472,44.5,159
301.3,311,1410,52.7,161
301.2,310.9,1597,37.9,164
301.2,310.9,1460,46.7,166
301.1,310.8,1274,55.7,169
301,310.7,1517,40.2,171
301,310.7,1300,57.2,174
300.9,310.6,1686,27.7,176
300.9,310.7,1485,41,181
301,310.7,1464,45.8,184
300.9,310.6,1598,35.4,186
300.9,310.5,1894,21.9,188
300.8,310.5,1330,59,190
300.8,310.5,1582,31.1,193
300.7,310.3,1533,35.6,198
300.8,310.4,1419,46.4,200
300.8,310.3,1526,36.3,205
300.7,310.2,1364,65.3,208
300.8,310.3,1458,43.4,0
300.8,310.4,1288,64,3
300.7,310.3,1659,29.8,6
300.7,310.2,1479,52.3,9
300.7,310.3,1592,36,14
300.6,310.2,1532,38.7,16
300.6,310.2,1555,41.9,19
300.6,310.2,1341,52.6,21
300.6,310.1,1541,42,23
300.6,310.3,1414,50.6,25
300.5,310.2,1764,25.9,27
300.5,310.3,1336,57.1,29
300.5,310.3,1435,43.3,31
300.4,310.3,1537,35,33
300.3,310.2,1369,48.8,36
300.2,310.1,1619,31.3,38
300.2,310.1,1440,51.1,41
300.2,310.1,1649,30.5,43
300.2,310.1,1550,38.7,45
300.3,310.2,1471,45.2,48
300.3,310.3,1483,51.6,50
300.3,310.4,1336,54.4,52
300.5,310.5,1515,36.6,54
300.5,310.5,1373,47.4,56
300.6,310.5,1454,51.2,58
300.5,310.5,1646,34.5,63
300.5,310.4,1548,37.3,65
300.6,310.5,1462,41.3,68
300.5,310.4,1702,33.1,71
300.5,310.5,1409,60.9,73
300.6,310.6,1427,52.8,75
300.6,310.7,1438,48.5,78
300.7,310.7,1450,43.4,80
300.7,310.7,1541,41.3,82
300.7,310.6,1484,38,84
300.8,310.8,1415,44.5,87
300.7,310.8,1496,46.4,90
300.7,310.8,1465,45.2,92
300.7,310.8,2113,18.5,95
300.7,310.8,1506,44,97
300.7,310.8,1689,28.9,100
300.7,310.9,1650,29.4,102
300.7,310.8,1563,33.8,104
300.7,310.9,1486,38.9,106
300.8,310.9,1732,25.7,109
300.7,310.8,1653,31.6,111
300.7,310.9,1535,37.1,113
300.7,310.9,1637,37.2,115
300.6,310.8,1533,38.5,117
300.6,310.8,1378,51.2,119
300.5,310.7,1606,33.5,121
300.3,310.7,1539,32.3,123
300.5,310.8,1728,26.3,125
300.4,310.7,1656,36.3,127
300.5,310.8,1631,30.5,132
300.5,310.9,1447,46.5,137
300.4,310.8,1396,49.3,142
300.4,310.8,1390,52.5,144
300.4,310.8,1348,56,146
300.4,310.8,1491,35.9,148
300.4,310.8,1520,37.6,151
300.5,310.8,1509,33,153
300.5,310.8,1445,46.6,155
300.5,310.8,1354,51.8,157
300.5,310.7,1488,39.4,159
300.5,310.7,1654,28.6,161
300.5,310.6,1378,51.5,166
300.6,310.7,1750,30.6,171
300.5,310.6,1448,46.3,173
300.6,310.7,1501,45.3,175
300.6,310.7,1654,32,180
300.7,310.7,1347,46.5,183
300.7,310.8,1486,37.1,186
300.8,310.8,1466,45.2,188
300.7,310.8,1346,52,193
300.7,310.7,1314,42.4,198
300.6,310.7,1440,52.5,200
300.7,310.8,1608,39.5,202
300.7,310.8,1296,58.2,204
300.7,310.7,1507,46.1,209
300.7,310.7,1343,51.6,211
300.7,310.7,1416,40.4,214
300.7,310.6,1288,47.2,216
300.7,310.6,1407,42.4,218
300.6,310.4,1608,39.2,221
300.6,310.3,1920,22.3,223
300.5,310.2,1386,48.2,225
300.5,310.2,1571,34.6,228
300.4,310.2,1613,36.9,231
300.4,310.2,1671,30.5,234
300.4,310.2,1431,43.2,0
300.4,310.2,1380,47.3,5
300.5,310.3,1683,31.5,8
300.4,310.2,1529,36.2,10
300.5,310.4,1761,26.5,12
300.6,310.5,1570,38.3,14
300.6,310.5,2156,18,16
300.7,310.6,1349,54.5,19
300.7,310.7,1431,39.3,22
300.6,310.6,1931,22,24
300.7,310.7,1428,43.4,26
300.8,310.8,1564,36.2,31
300.8,310.9,1425,44,33
300.7,310.8,1597,30.5,38
300.8,310.8,1618,32.8,40
300.8,310.8,1520,38,45
300.7,310.7,1425,45.3,48
300.8,310.9,1398,38.2,50
300.8,310.9,1557,31.6,52
300.7,310.8,1519,43.9,55
300.7,310.8,1619,34.9,57
300.7,310.8,1814,21.4,59
300.7,310.9,1521,39.4,61
300.7,310.9,1369,51.2,63
300.7,310.9,1356,65.3,66
300.7,311,1336,53.3,68
300.7,311,1403,48.3,70
300.7,311,1413,44.3,72
300.6,310.9,1472,47.6,75
300.7,310.8,1452,47.9,77
300.6,310.7,1397,53.7,80
300.6,310.7,1455,40.6,82
300.7,310.8,1754,27.7,84
300.6,310.9,1471,37.9,86
300.6,310.8,1389,48.1,88
300.6,310.9,1702,30.3,91
300.6,311,1401,54.6,94
300.7,311.1,1426,46.2,97
300.7,311,1496,38.3,99
300.6,310.9,1433,42.6,101
300.7,311.1,1438,46.6,103
300.7,311,1418,49.3,106
300.8,311,1580,36.6,109
300.7,310.9,1468,41.8,112
300.8,310.9,1522,41.7,115
300.8,310.9,1311,55.8,118
300.9,311,1316,56.5,120
300.9,311,1853,23.6,122
300.9,311,1556,38.8,127
300.9,311,1567,34.3,130
300.9,311.1,1546,37.7,133
300.9,311,1382,51.2,136
300.9,311,2003,20.2,138
300.8,310.9,1748,29.9,140
300.7,310.8,1518,40.1,142
300.7,310.8,1475,42,147
300.8,310.8,1634,29.2,149
300.8,310.8,1689,32.9,151
300.9,310.9,1636,35.3,153
300.9,311,2235,15.8,156
301,311.1,1615,35.6,158
301.1,311.1,1618,29.5,160
301.1,311.2,1407,53,165
301.1,311.1,1450,43.3,168
301.1,311.1,1889,23.8,170
301,310.9,1568,38.2,172
301,311,1804,25.8,174
301,311,1582,37.5,176
301,310.9,2047,17.9,178
300.9,310.9,1601,34,181
300.9,310.9,1615,32,183
300.9,310.8,1452,43.6,185
300.9,310.8,1695,30.2,188
300.9,310.8,1790,26.2,191
301,310.8,1533,39.3,194
301,310.9,1813,28.5,197
301,310.9,1492,36.7,199
300.9,310.7,1479,43.3,201
300.8,310.7,1339,59.1,203
300.8,310.7,1371,44.7,205
300.9,310.7,1468,36.2,208
300.9,310.7,1517,41.7,210
300.9,310.7,1352,46.4,212
300.9,310.7,1389,50,214
300.8,310.6,1505,36.2,0
300.9,310.6,1538,36.7,3
300.9,310.8,1482,37,5
300.9,310.8,1599,33,7
300.9,310.8,1476,39,10
300.9,310.7,1509,37.5,12
300.9,310.8,1708,29.1,14
300.9,310.7,1412,57.5,16
300.9,310.7,1658,28.5,18
301,310.8,1375,57.2,20
300.9,310.8,1402,48.1,22
300.9,310.7,1452,47.3,25
300.8,310.7,1483,40.8,28
300.9,310.8,1477,38.4,31
300.8,310.7,1924,22.4,36
300.9,310.7,1609,28.7,39
300.8,310.7,1886,21.1,44
300.7,310.6,1616,29.6,47
300.7,310.7,1442,43.2,49
300.8,310.8,1407,45.1,51
300.8,310.8,1461,41.3,53
300.8,310.9,1522,46.2,56
300.9,311,1432,48.1,59
300.9,311,1438,49,61
300.8,310.9,1678,28.1,63
300.8,310.9,1514,38.7,66
300.7,310.8,1534,41.3,69
300.7,310.8,1486,41.2,71
300.7,310.8,1925,22,74
300.7,310.8,1724,30,76
300.8,310.8,1549,35.5,79
300.8,310.9,1457,47.7,82
300.8,310.9,1453,43.9,84
300.8,311,1578,44.4,86
300.9,311.1,1325,61.4,88
300.9,311.1,1471,39.3,91
300.9,311.2,1472,40,93
300.9,311.1,1457,37.4,96
301,311,1402,55.3,98
300.9,310.9,1477,41.5,100
300.9,310.9,1727,30.1,102
300.9,310.9,1995,20.2,105
300.9,310.9,1370,52.5,107
300.9,310.9,1228,66.4,109
300.9,311,1499,38,111
301,311,1508,46.9,113
301,310.9,1473,44.2,116
301,311,1640,37.6,118
301.1,311.1,1429,42.5,123
301.1,311.1,1470,40.9,125
301,311,1581,37,127
301,310.9,1740,28.9,129
300.9,310.8,1390,40.6,131
300.9,310.8,1988,19.7,136
300.8,310.7,1452,43,139
300.8,310.7,1586,33.4,142
300.8,310.7,1589,34.3,144
300.8,310.8,1486,45.7,146
300.9,310.9,1755,27.9,148
301,310.9,1575,34.6,150
301.1,311.1,1615,37.7,153
301.1,311.1,1436,41.8,156
301.1,311.1,1470,40.6,159
301.1,311.1,2089,19.8,162
301.1,311.2,1564,37,165
301,311.1,1420,47.4,167
301.1,311.1,1711,29.1,170
301.1,311.2,1555,35.3,172
301.1,311.1,1592,35.7,174
301,311.1,1236,64.4,177
301,310.9,1765,24.2,179
301,311,1634,31.2,182
301.1,311.1,1508,41.5,184
301.1,311.2,1774,29.6,186
301.1,311,1677,29.1,188
301,311,1399,58,190
301,310.9,1570,34,192
301,310.9,1479,44.3,194
301,310.8,1558,34.9,196
300.8,310.7,1358,48.1,198
300.9,310.7,1656,30.7,200
300.9,310.7,1523,35.8,205
300.9,310.7,1403,40.6,207
300.9,310.7,1362,51.6,212
300.7,310.6,1778,27.1,215
300.7,310.5,1448,38.2,218
300.8,310.5,1559,40.1,220
300.8,310.6,1416,42.2,225
300.8,310.6,1577,37.9,227
300.8,310.7,1633,27.8,0
300.9,310.7,1573,31.2,2
300.9,310.8,1517,44.3,4
301,310.9,1515,37.3,6
301,310.8,1527,45.3,8
301.1,310.9,1282,67.9,10
301.1,310.9,1396,45.1,12
301,310.9,1492,44.6,15
